PERMNO,date,TICKER,PRC,SHROUT
10104,20100129,ORCL,23.06,5011220
10104,20100226,ORCL,24.65,5015000
10104,20100331,ORCL,25.71,5019091
10104,20100430,ORCL,25.8675,5029523
10104,20100528,ORCL,22.57,5026000
10104,20100630,ORCL,21.46,5026000
10104,20100730,ORCL,23.64,5026000
10104,20100831,ORCL,21.845,5025000
10104,20100930,ORCL,26.85,5027114
10104,20101029,ORCL,29.38,5027114
10104,20101130,ORCL,27.045,5051000
10104,20101231,ORCL,31.3,5052420
10104,20110131,ORCL,32.03,5052420
10104,20110228,ORCL,32.9,5061000
10104,20110331,ORCL,33.4325,5060516
10104,20110429,ORCL,35.96,5060516
10104,20110531,ORCL,34.22,5068000
10104,20110630,ORCL,32.91,5065515
10104,20110729,ORCL,30.58,5065515
10104,20110831,ORCL,28.07,5051000
10104,20110930,ORCL,28.74,5044602
10104,20111031,ORCL,32.77,5044602
10104,20111130,ORCL,31.35,5032000
10104,20111230,ORCL,25.65,5025837
10104,20120131,ORCL,28.21,5025837
10104,20120229,ORCL,29.255,4979000
10104,20120330,ORCL,29.16,4975106
10104,20120430,ORCL,29.4,4975106
10104,20120531,ORCL,26.47,4905000
10104,20120629,ORCL,29.7,4882506
10104,20120731,ORCL,30.2,4882506
10104,20120831,ORCL,31.65,4831000
10104,20120928,ORCL,31.46,4819056
10104,20121031,ORCL,31.08,4819056
10104,20121130,ORCL,32.175,4748000
10104,20121231,ORCL,33.32,4734297
10104,20130131,ORCL,35.51,4734297
10104,20130228,ORCL,34.24,4719000
10104,20130328,ORCL,32.33,4710658
10104,20130430,ORCL,32.78,4698310
10104,20130531,ORCL,33.78,4646000
10104,20130628,ORCL,30.71,4646000
10104,20130731,ORCL,32.35,4630807
10104,20130830,ORCL,31.86,4630807
10104,20130930,ORCL,33.17,4557459
10104,20131031,ORCL,33.5,4557459
10104,20131129,ORCL,35.29,4557459
10104,20131231,ORCL,38.26,4497409
10104,20140131,ORCL,36.9,4497409
10104,20140228,ORCL,39.11,4497409
10104,20140331,ORCL,40.91,4458886
10104,20140430,ORCL,40.88,4458886
10104,20140530,ORCL,42.02,4458886
10104,20140630,ORCL,40.53,4454889
10104,20140731,ORCL,40.39,4454889
10104,20140829,ORCL,41.53,4454889
10104,20140930,ORCL,38.28,4431304
10104,20141031,ORCL,39.05,4431304
